metric,value
avg_pos_distance,0.05301131308078766
avg_neg_distance,0.8549201488494873
pos_neg_ratio,0.06200732663273811
precision@1,0.4756335282651072
precision@5,0.2155945419103324
recall@1,0.4756335282651072
recall@5,0.2155945419103324
num_samples,514.0
num_unique_individuals,112.0
mAP,0.32315912374727673
F1_max,0.15690376569037656
F1_threshold,0.98989898989899
Rank-1,47.563352826510716
Rank-5,69.00584795321637
Rank-10,77.38791423001949
Precision@optimal,0.15789473684210525
Recall@optimal,0.15592515592515593
PR_AUC,0.13514399290758816
