metric,value
avg_pos_distance,0.18133783340454102
avg_neg_distance,0.746719479560852
pos_neg_ratio,0.24284599721431732
precision@1,0.3235867446393762
precision@5,0.13060428849902567
recall@1,0.3235867446393762
recall@5,0.13060428849902567
num_samples,514.0
num_unique_individuals,112.0
mAP,0.1860403047512041
F1_max,0.1063964534515516
F1_threshold,0.9797979797979799
Rank-1,32.35867446393762
Rank-5,49.317738791423
Rank-10,57.50487329434698
Precision@optimal,0.13614262560777957
Recall@optimal,0.08731808731808732
PR_AUC,0.08519413130212605
