epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4387,1.51696,2.83616,1.0511,1.35151,0.99181,1,0.995,0.73449,0.99181,1,0.995,0.70625,1.0295,1.59218,0.46569,1.01551,0.000652778,0.000652778,0.000652778
2,29.9337,1.15922,1.58268,0.66716,1.09051,0.99833,1,0.995,0.7703,0.99833,1,0.995,0.69174,0.95799,1.42093,0.54227,1.00176,0.00131291,0.00131291,0.00131291
3,43.8771,1.1683,1.53912,0.64632,1.07378,0.9281,1,0.995,0.69648,0.9281,1,0.995,0.65775,1.00862,1.54925,1.50845,0.99474,0.00196645,0.00196645,0.00196645
4,57.9029,1.14709,1.46037,0.70602,1.0692,0.87373,1,0.98327,0.75418,0.87373,1,0.98327,0.70996,1.00045,1.32012,0.52426,1.00342,0.0019703,0.0019703,0.0019703
5,72.62,1.08485,1.44445,0.65584,1.04915,1,0.99643,0.995,0.69463,1,0.99643,0.995,0.69278,1.03718,1.6052,0.62099,1.00323,0.0019604,0.0019604,0.0019604
6,87.234,1.03157,1.33705,0.61958,1.02651,0.98775,1,0.995,0.76235,0.98775,1,0.995,0.712,0.86523,1.35511,0.4814,0.97204,0.0019505,0.0019505,0.0019505
7,101.62,1.03048,1.40398,0.6277,1.02169,0.99498,1,0.995,0.80019,0.99498,1,0.995,0.7225,0.81375,1.28094,0.47662,0.96443,0.0019406,0.0019406,0.0019406
8,116.324,1.03324,1.34468,0.59335,1.03104,0.9917,1,0.995,0.79205,0.9917,1,0.995,0.73673,0.92169,1.26635,0.49561,1.01072,0.0019307,0.0019307,0.0019307
9,131.02,1.01648,1.37641,0.5938,1.01158,0.99294,1,0.995,0.75843,0.99294,1,0.995,0.69261,0.90508,1.39113,0.46661,0.95034,0.0019208,0.0019208,0.0019208
10,144.955,1.04782,1.34737,0.5854,1.04028,0.9934,1,0.995,0.74313,0.9934,1,0.995,0.74584,0.97802,1.23929,0.45933,1.00324,0.0019109,0.0019109,0.0019109
11,158.989,0.9737,1.24591,0.56751,1.00763,0.99598,1,0.995,0.7861,0.99598,1,0.995,0.74548,0.91002,1.34182,0.42961,1.01895,0.001901,0.001901,0.001901
12,173.129,0.97987,1.27435,0.58869,1.0006,0.99478,1,0.995,0.78234,0.99478,1,0.995,0.73906,0.8738,1.3727,0.42302,0.95255,0.0018911,0.0018911,0.0018911
